"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
"TQ37",2755,66,0.318,14.08,41.48,0.74,43.6,198.8,7
"TQ38",2756,55,0.315,14.36,40.52,0.74,42.1,195.2,7
"TQ39",2757,11,0.307,13.24,42.7,0.74,44.5,200.4,7
"TQ40",2758,80,0.507,5.22,28.68,0.74,84,189.9,7
"TQ41",2759,59,0.464,5.82,38.75,0.74,85.4,211.8,7
"TQ42",2760,96,0.418,6.63,41.3,0.74,80.9,225.5,6
"TQ43",2761,70,0.414,6.73,41.99,0.74,81.1,228.7,6
"TQ44",2762,110,0.431,6.64,43.3,0.74,80,218.4,7
"TQ45",2763,97,0.424,6.39,40.18,0.74,81.4,220.9,7
"TQ46",2764,132,0.352,8.51,39.51,0.74,61.4,209,6
"TQ47",2765,66,0.326,12.88,40.48,0.74,46.7,201,7
"TQ48",2766,17,0.329,13.56,39.83,0.74,43.8,192.8,7
"TQ49",2767,46,0.353,8.11,37.13,0.74,58.4,194.6,6
"TQ50",2768,91,0.524,4.79,33.26,0.74,93.1,198.7,8
"TQ51",2769,41,0.44,6.31,41.36,0.74,82.1,217.2,7
"TQ52",2770,42,0.423,6.58,41.56,0.74,81.4,224.4,7
"TQ53",2771,107,0.42,6.33,38.65,0.74,81.2,221.1,6
"TQ54",2772,122,0.439,6.25,40.79,0.74,81.1,213.2,7
"TQ55",2773,148,0.429,5.99,35.55,0.74,82.1,215.7,6
"TQ56",2774,97,0.431,5.49,29.56,0.74,68.4,172.3,5
"TQ57",2775,56,0.339,11.48,36.42,0.74,43.7,175.3,7
"TQ58",2776,24,0.327,10.52,38.5,0.74,46.7,183.4,6
"TQ59",2777,22,0.376,6.99,30.92,0.74,59.6,180.2,5
"TQ60",2778,73,0.45,6.27,40.01,0.74,81.3,211.5,7
"TQ61",2779,113,0.444,6.35,42.07,0.74,82.3,217,7
"TQ62",2780,34,0.437,6.36,41.46,0.74,82.8,220.8,7
"TQ63",2781,100,0.438,6.18,39.36,0.74,83.1,218.9,7
"TQ64",2782,93,0.487,4.88,35.81,0.74,86.3,193.1,7
"TQ65",2783,123,0.481,4.77,32.59,0.74,84.5,188.6,7
