"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
"NG34",280,1,0.136,24.76,29.82,0.74,28,267.1,4
"NG35",281,34,0.135,25.93,32.74,0.74,29.8,291.5,5
"NG36",282,49,0.124,26.96,34.45,0.74,24.7,257.6,4
"NG37",283,13,0.122,26.89,36.61,0.74,23.2,246.4,5
"NG38",284,0,0.078,41.2,33.87,0.74,12.9,203.9,4
"NG39",285,0,0.079,37.3,33.76,0.74,13.4,200.5,5
"NG40",286,0,0.168,16.92,39.69,0.74,49.2,343.2,5
"NG41",287,14,0.158,18.2,38.83,0.74,46,342.6,5
"NG42",288,38,0.162,18.4,37.69,0.74,47,347.7,5
"NG43",289,6,0.17,16.41,34.75,0.74,46.3,317,5
"NG44",290,27,0.155,21.75,32.01,0.74,38.8,324.8,4
"NG45",291,33,0.154,20.33,37.39,0.74,41.4,333.9,5
"NG46",292,96,0.143,24.13,35.14,0.74,33.9,312.8,4
"NG47",293,28,0.132,24.16,34.91,0.74,27,259.2,6
"NG49",294,84,0.093,33.63,33.13,0.74,16.4,214,4
"NG50",295,71,0.179,15.93,38.45,0.74,53,347.4,5
"NG51",296,74,0.181,15.4,38.42,0.74,53.6,343.9,5
"NG52",297,52,0.175,16.68,36.66,0.74,51,346.3,5
"NG53",298,89,0.189,14.49,33.25,0.74,54,329.2,5
"NG54",299,96,0.167,15.64,34.57,0.74,46.5,312.2,6
"NG55",300,32,0.162,19.64,38.39,0.74,42.9,329.3,4
"NG56",301,5,0.139,23.35,30.83,0.74,28.9,265.7,5
"NG60",302,85,0.194,14.62,36.08,0.74,57.8,348.6,4
"NG61",303,127,0.185,15.28,34.76,0.74,53.8,339.4,5
"NG62",304,69,0.194,14.09,34.11,0.74,55.7,330.8,5
"NG63",305,12,0.173,15.43,29.66,0.74,47.5,310.8,6
"NG64",306,0,0.169,15.57,31.41,0.74,46.1,307.3,6
"NG65",307,1,0.157,17.22,36.19,0.74,43,313.1,6
"NG66",308,0,0.15,18.04,38.31,0.74,43.1,330.1,6
"NG70",309,15,0.204,14.92,36.74,0.74,56.6,337.2,4
"NG71",310,124,0.237,13.58,36.89,0.74,65.4,344.9,5
"NG72",311,74,0.216,13.86,36.26,0.74,61.1,341.6,3
"NG73",312,60,0.218,13.33,32.84,0.74,59.6,325.1,4
"NG74",313,60,0.176,15.19,33.22,0.74,48.9,315.7,6
"NG75",314,35,0.172,16.45,35.75,0.74,46.9,320.9,6
"NG76",315,18,0.181,16.66,36.86,0.74,48.3,326.2,5
"NG77",316,14,0.159,19.05,37.27,0.74,40.9,313.3,5
"NG78",317,14,0.141,22.52,37.13,0.74,34.6,308.1,5
"NG79",318,17,0.149,21.47,37.61,0.74,35.6,301,5
"NG80",319,93,0.151,20.38,34.34,0.74,36.2,297.4,5
"NG81",320,56,0.212,14.9,34.12,0.74,60.7,357.5,4
"NG82",321,72,0.238,13.06,32.45,0.74,66.8,347.5,4
"NG83",322,115,0.236,13.31,34.44,0.74,62.6,329,4
"NG84",323,148,0.181,15.29,34.22,0.74,50.7,325,5
"NG85",324,81,0.198,14.99,36.25,0.74,54.2,331.1,5
"NG86",325,7,0.175,17.16,34.73,0.74,47.9,332.5,5
"NG87",326,90,0.192,15.39,35.04,0.74,50.4,315.5,5
"NG88",327,66,0.165,18.44,33.77,0.74,39.9,295.2,5
"NG89",328,13,0.158,19.93,33.68,0.74,36.5,287.4,5
"NG90",329,12,0.141,27.71,36.1,0.74,30.7,308.9,5
"NG91",330,43,0.138,26.49,34.68,0.74,30.4,299.9,4
"NG92",331,51,0.178,17.21,36.31,0.74,44.8,312,5
"NG93",332,37,0.209,14.37,35.54,0.74,58.9,343.1,4
"NG94",333,99,0.217,13.22,35.17,0.74,63.4,347.3,5
"NG95",334,90,0.21,14.22,34.76,0.74,60.9,354.4,5
"NG96",335,119,0.211,14.26,34.6,0.74,59.5,343.9,5
"NG97",336,192,0.216,13.79,34.6,0.74,59.4,332.7,5
"NG98",337,40,0.168,18.37,34.86,0.74,41.4,303.9,5
"NG99",338,12,0.168,18.19,33.54,0.74,39.8,291.7,5
"NH00",339,21,0.139,30.48,40.36,0.74,30.1,321,4
"NH01",340,10,0.139,30.57,37.94,0.74,29.6,314.8,5
"NH02",341,17,0.138,27.54,35.92,0.74,28.9,291.3,4
"NH03",342,4,0.142,23.96,35.09,0.74,30.3,280.9,5
"NH04",343,48,0.153,22.25,33.5,0.74,33.4,287,5
"NH05",344,84,0.215,15.05,35.37,0.74,56.3,333.6,4
"NH06",345,91,0.221,14.38,36.18,0.74,61.4,349.2,4
"NH07",346,26,0.216,15.46,36.94,0.74,59.1,355.8,4
